FID,Region,Shape__Area,Shape__Length,SHAPE
1,TNA,9837797507410.814,13620953.829481216,"{'rings': [[[-6400870.72062435, 613199.663338801], [-6400870.72062435, 2692598.21930967], [-1669792.36185461, 2692598.21930967], [-1669792.36185461, 613199.663338801], [-6400870.72062435, 613199.663338801]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
2,ONI,6203893745485.324,13361170.10835876,"{'rings': [[[-18924313.4348676, 557305.257274584], [-13358338.8952151, 557305.257274584], [-13358338.8952151, -557305.257252237], [-18924313.4348676, -557305.257252237], [-18924313.4348676, 557305.257274584]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
3,TSA,10121305814270.953,13451621.117576465,"{'rings': [[[-3339584.72382045, 1.11301587242166e-05], [1113194.90792162, 1.11301587242166e-05], [1113194.90792162, -2273030.92703504], [-3339584.72382045, -2273030.92703504], [-3339584.72382045, 1.11301587242166e-05]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
4,SOI,6203893745485.329,13361170.108358767,"{'rings': [[[10018754.1714058, 557305.257274584], [15584728.7110583, 557305.257274584], [15584728.7110583, -557305.257252237], [10018754.1714058, -557305.257252237], [10018754.1714058, 557305.257274584]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
