FID,Id,gridcode,Shape__Area,Shape__Length,SHAPE
19,19,2,321137030715.81934,2332967.4412763035,"{'rings': [[[-445277.963173088, 11402272.1593998], [-667916.944715144, 11402272.1593998], [-890555.926357307, 11402272.1593998], [-890555.926357307, 12123477.9168537], [-667916.944715144, 12123477.9168537], [-445277.963173088, 12123477.9168537], [-445277.963173088, 11402272.1593998]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
20,20,3,160568515321.80713,1887689.477991967,"{'rings': [[[-222638.981631038, 11402272.1593998], [-445277.963173088, 11402272.1593998], [-445277.963173088, 12123477.9168537], [-222638.981631038, 12123477.9168537], [-222638.981631038, 11402272.1593998]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
21,21,4,321137030715.8191,2332967.441276304,"{'rings': [[[445277.963195349, 11402272.1593998], [222638.981553181, 11402272.1593998], [1.11305657984171e-05, 11402272.1593998], [1.11305657984171e-05, 12123477.9168537], [222638.981553181, 12123477.9168537], [445277.963195349, 12123477.9168537], [445277.963195349, 11402272.1593998]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
22,22,5,481705546037.626,2778245.4043604042,"{'rings': [[[1113194.90792162, 11402272.1593998], [445277.963195349, 11402272.1593998], [445277.963195349, 12123477.9168537], [667916.944737399, 12123477.9168537], [1113194.90792162, 12123477.9168537], [1113194.90792162, 11402272.1593998]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
23,23,6,481705546037.625,2778245.4043604042,"{'rings': [[[1781111.85264789, 11402272.1593998], [1113194.90792162, 11402272.1593998], [1113194.90792162, 12123477.9168537], [1781111.85264789, 12123477.9168537], [1781111.85264789, 11402272.1593998]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
24,24,0,2641931652293.328,7794155.227761997,"{'rings': [[[12467782.9688689, 12932243.112164], [15287296.9466138, 12649404.4192301], [15584728.7110583, 12123477.9168537], [15382034.6980637, 11309298.7353735], [12566787.6050583, 12471017.9546476], [12467782.9688689, 12932243.112164]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
25,25,0,725230480238.4062,3529361.0657450818,"{'rings': [[[-15807367.6926782, 11402272.1593998], [-14694172.7846676, 11402272.1593998], [-14694172.7846676, 10750786.5345378], [-15807367.6926782, 10750786.5345378], [-15807367.6926782, 11402272.1593998]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
26,26,0,290092192082.3281,2193527.176092308,"{'rings': [[[-11577227.0424782, 10750786.5345378], [-12022505.0056624, 10750786.5345378], [-12022505.0056624, 11402272.1593998], [-11799866.0241204, 11402272.1593998], [-11577227.0424782, 11402272.1593998], [-11577227.0424782, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
27,27,0,145046096008.5547,1748249.212807987,"{'rings': [[[-5788613.52128359, 10750786.5345378], [-6011252.50282564, 10750786.5345378], [-6011252.50282564, 11402272.1593998], [-5788613.52128359, 11402272.1593998], [-5788613.52128359, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
28,28,1,92885850267.77734,1517386.0766561325,"{'rings': [[[-5788613.52128359, 10750786.5345378], [-5788613.52128359, 11402272.1593998], [-5503462.63928995, 11068715.6592494], [-5788613.52128359, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
