FID,Id,gridcode,Shape__Area,Shape__Length,SHAPE
147,147,8,2491835146306.7266,9731848.465315366,"{'rings': [[[-16697923.6189465, 5942074.07238218], [-16920562.6005887, 5942074.07238218], [-17811118.5269571, 5942074.07238218], [-17720184.3669048, 6137374.48493811], [-16473429.7655354, 6631433.76860914], [-15807705.7141824, 7352475.19230744], [-16252645.6558624, 8625823.20011183], [-15052330.7955818, 8216851.54002276], [-14694172.7846676, 7361866.1130318], [-15219137.6238333, 7130445.33743653], [-15898301.8526304, 6414622.08859609], [-16606989.4589943, 6137374.48493811], [-16697923.6189465, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
148,148,9,1194539091024.7188,5867852.78492913,"{'rings': [[[-15584728.7110361, 5942074.07238218], [-15807367.6926782, 5942074.07238218], [-16697923.6189465, 5942074.07238218], [-16606989.4589943, 6137374.48493811], [-15898301.8526304, 6414622.08859609], [-15219137.6238333, 7130445.33743653], [-14694172.7846676, 7361866.1130318], [-14471533.8031256, 7361866.1130318], [-14471533.8031256, 6982997.92044525], [-14556414.9997811, 6757295.94049121], [-15444553.8174745, 6282270.10666211], [-15584728.7110361, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
149,149,10,827907977600.5312,4431404.95895136,"{'rings': [[[-15584728.7110361, 5942074.07238218], [-15444553.8174745, 6282270.10666211], [-14556414.9997811, 6757295.94049121], [-14471533.8031256, 6982997.92044525], [-13878409.6412016, 6503296.42805978], [-13803616.8583993, 6274861.3940405], [-15584728.7110361, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
150,150,5,142380574147.94922,1855797.7354428105,"{'rings': [[[-9573476.20819928, 5942074.07238218], [-9796115.18984144, 5942074.07238218], [-10312231.5935697, 6116853.5380032], [-9573476.20819928, 6274861.3940405], [-9573476.20819928, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
151,151,6,74091430364.10938,1110852.6064007394,"{'rings': [[[-9350837.22665722, 5942074.07238218], [-9573476.20819928, 5942074.07238218], [-9573476.20819928, 6274861.3940405], [-9350837.22665722, 6274861.3940405], [-9350837.22665722, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
152,152,4,1929494839897.3008,10538320.821864534,"{'rings': [[[-5565974.53964142, 5942074.07238218], [-6011252.50282564, 5942074.07238218], [-6679169.44755192, 5942074.07238218], [-7347086.3923783, 5942074.07238218], [-7347086.3923783, 6274861.3940405], [-7347086.3923783, 6621293.72270483], [-6679169.44755192, 6621293.72270483], [-6572290.94812713, 6369750.66088655], [-5699696.87417177, 6422214.49433904], [-5932957.2054715, 8004685.81415322], [-5209613.22356903, 8355067.43149437], [-5120696.57645721, 8625823.20011183], [-4898057.59491516, 8625823.20011183], [-4898057.59491516, 7760118.67298417], [-5343335.55809937, 7760118.67298417], [-5343335.55809937, 7361866.1130318], [-5565974.53964142, 7361866.1130318], [-5565974.53964142, 6982997.92044525], [-5565974.53964142, 6621293.72270483], [-5565974.53964142, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
153,153,5,151220771191.1875,1803717.2637293842,"{'rings': [[[-5343335.55809937, 5942074.07238218], [-5565974.53964142, 5942074.07238218], [-5565974.53964142, 6621293.72270483], [-5343335.55809937, 6621293.72270483], [-5343335.55809937, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
154,154,7,231750225499.8047,2527125.6594104543,"{'rings': [[[-5120696.57645721, 5942074.07238218], [-5343335.55809937, 5942074.07238218], [-5343335.55809937, 6621293.72270483], [-5343335.55809937, 6982997.92044525], [-5120696.57645721, 6982997.92044525], [-5120696.57645721, 6621293.72270483], [-5120696.57645721, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
155,155,9,151220771191.1836,1803717.2637293953,"{'rings': [[[-4898057.59491516, 5942074.07238218], [-5120696.57645721, 5942074.07238218], [-5120696.57645721, 6621293.72270483], [-4898057.59491516, 6621293.72270483], [-4898057.59491516, 6274861.3940405], [-4898057.59491516, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
156,156,12,74091430397.4336,1110852.6066009514,"{'rings': [[[-4675418.61327299, 5942074.07238218], [-4898057.59491516, 5942074.07238218], [-4898057.59491516, 6274861.3940405], [-4675418.61327299, 6274861.3940405], [-4675418.61327299, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
157,157,13,74091430364.11328,1110852.6064007394,"{'rings': [[[-4452779.63173094, 5942074.07238218], [-4675418.61327299, 5942074.07238218], [-4675418.61327299, 6274861.3940405], [-4452779.63173094, 6274861.3940405], [-4452779.63173094, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
158,158,14,148182860761.54688,1556130.5696850633,"{'rings': [[[-4007501.66854672, 5942074.07238218], [-4452779.63173094, 5942074.07238218], [-4452779.63173094, 6274861.3940405], [-4007501.66854672, 6274861.3940405], [-4007501.66854672, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
159,159,13,148182860761.54297,1556130.5696850633,"{'rings': [[[-3562223.7053625, 5942074.07238218], [-4007501.66854672, 5942074.07238218], [-4007501.66854672, 6274861.3940405], [-3562223.7053625, 6274861.3940405], [-3562223.7053625, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
160,160,13,1126300084831.413,6512444.28887503,"{'rings': [[[-222638.981631038, 5942074.07238218], [-1678071.34140455, 6094490.36680944], [-3116945.74217829, 6274861.3940405], [-3116945.74217829, 6621293.72270483], [-2894306.76063623, 6621293.72270483], [-1212199.54418892, 6465456.4416612], [-222638.981631038, 6274861.3940405], [-222638.981631038, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
161,161,7,74091430364.125,1110852.6064007543,"{'rings': [[[15584728.7110583, 5942074.07238218], [15362089.7295162, 5942074.07238218], [15362089.7295162, 6274861.3940405], [15584728.7110583, 6274861.3940405], [15584728.7110583, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
162,162,6,74091430364.10938,1110852.6064007245,"{'rings': [[[15807367.6926004, 5942074.07238218], [15584728.7110583, 5942074.07238218], [15584728.7110583, 6274861.3940405], [15807367.6926004, 6274861.3940405], [15807367.6926004, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
163,163,5,74091430397.4375,1110852.6066009663,"{'rings': [[[16030006.6742425, 5942074.07238218], [15807367.6926004, 5942074.07238218], [15807367.6926004, 6274861.3940405], [16030006.6742425, 6274861.3940405], [16030006.6742425, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
164,164,4,4512622915166.523,12693417.118395854,"{'rings': [[[20037507.0671618, 7361865.95227262], [18270032.8559342, 7142236.52004221], [17588479.5453372, 5942074.07238218], [17365840.5637952, 5942074.07238218], [16522933.7822039, 6251111.32643489], [16030006.6742425, 5942074.07238218], [16030006.6742425, 6274861.3940405], [15807367.6926004, 6274861.3940405], [15807367.6926004, 6621293.72270483], [17365840.5637952, 7361866.1130318], [17546079.0764831, 6919423.36569474], [18033757.5085215, 8180386.88593526], [18701674.4532477, 8180386.88593526], [18701674.4532477, 8625823.20011183], [19146952.4164319, 8625823.20011183], [20037507.0671618, 8180387.50513151], [20037507.0671618, 8084939.74729715], [20037507.0671618, 7990695.24942201], [20037507.0671618, 7897618.51991843], [20037507.0671618, 7805675.5084279], [20037507.0671618, 7714833.5279437], [20037507.0671618, 7625061.18210604], [20037507.0671618, 7536328.29726232], [20037507.0671618, 7448605.85892255], [20037507.0671618, 7361865.95227262]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
165,165,5,2302270892270.2266,6719902.292391621,"{'rings': [[[20037507.0671618, 6274861.2315228], [18804714.9645689, 6119237.14137861], [17588479.5453372, 5942074.07238218], [18270032.8559342, 7142236.52004221], [20037507.0671618, 7361865.95227262], [20037507.0671618, 7272801.12286385], [20037507.0671618, 7184737.92423152], [20037507.0671618, 7097648.48928221], [20037507.0671618, 7011505.98961825], [20037507.0671618, 6926284.58353954], [20037507.0671618, 6841959.36723854], [20037507.0671618, 6758506.32895566], [20037507.0671618, 6675902.30588184], [20037507.0671618, 6594124.94361263], [20037507.0671618, 6513152.65797447], [20037507.0671618, 6432964.59905806], [20037507.0671618, 6353540.6173071], [20037507.0671618, 6274861.2315228]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
166,166,7,71367092414.4375,1086380.5842003152,"{'rings': [[[-20037507.0671618, 5942074.07238218], [-19814869.3612361, 5942074.07238218], [-19814869.3612361, 5621521.48620781], [-20037507.0671618, 5621521.48620781], [-20037507.0671618, 5700582.73240413], [-20037507.0671618, 5780349.22024035], [-20037507.0671618, 5860839.82991549], [-20037507.0671618, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
167,167,8,570940010660.625,4203328.877822489,"{'rings': [[[-18033757.5084992, 5621521.48620781], [-19146952.4164097, 5621521.48620781], [-19814869.3612361, 5621521.48620781], [-19814869.3612361, 5942074.07238218], [-19592230.3795939, 5942074.07238218], [-18033757.5084992, 5942074.07238218], [-18033757.5084992, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
168,168,9,356837506646.8594,2867494.9881697297,"{'rings': [[[-16920562.6005887, 5621521.48620781], [-17365840.5637729, 5621521.48620781], [-18033757.5084992, 5621521.48620781], [-18033757.5084992, 5942074.07238218], [-17811118.5269571, 5942074.07238218], [-16920562.6005887, 5942074.07238218], [-16920562.6005887, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
169,169,10,356837506646.84375,2867494.988169737,"{'rings': [[[-15807367.6926782, 5621521.48620781], [-16252645.6558624, 5621521.48620781], [-16920562.6005887, 5621521.48620781], [-16920562.6005887, 5942074.07238218], [-16697923.6189465, 5942074.07238218], [-15807367.6926782, 5942074.07238218], [-15807367.6926782, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
170,170,11,766159088959.3125,5048592.302254629,"{'rings': [[[-13803616.8583993, 5621521.48620781], [-14356503.7192655, 5793712.70037778], [-15807367.6926782, 5621521.48620781], [-15807367.6926782, 5942074.07238218], [-15584728.7110361, 5942074.07238218], [-13803616.8583993, 6274861.3940405], [-13803616.8583993, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
171,171,6,71367501348.625,1086383.1356330737,"{'rings': [[[-9573476.20819928, 5621521.48620781], [-9796115.18984144, 5621521.48620781], [-9796115.18984144, 5942074.07238218], [-9573476.20819928, 5942074.07238218], [-9573476.20819928, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
172,172,7,142735002665.15625,1531661.0987171903,"{'rings': [[[-9350837.22665722, 5621521.48620781], [-9573476.20819928, 5621521.48620781], [-9573476.20819928, 5942074.07238218], [-9350837.22665722, 5942074.07238218], [-9128198.24501506, 5942074.07238218], [-9128198.24501506, 5621521.48620781], [-9350837.22665722, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
173,173,5,214102504013.79688,1976939.0620015133,"{'rings': [[[-6679169.44755192, 5621521.48620781], [-6901808.42919408, 5621521.48620781], [-7124447.41073614, 5621521.48620781], [-7347086.3923783, 5621521.48620781], [-7347086.3923783, 5942074.07238218], [-6679169.44755192, 5942074.07238218], [-6679169.44755192, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
174,174,6,214102503981.6914,1976939.0618013013,"{'rings': [[[-6011252.50282564, 5621521.48620781], [-6233891.48446781, 5621521.48620781], [-6456530.46600986, 5621521.48620781], [-6679169.44755192, 5621521.48620781], [-6679169.44755192, 5942074.07238218], [-6011252.50282564, 5942074.07238218], [-6011252.50282564, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
175,175,5,142735002665.15625,1531661.0987171903,"{'rings': [[[-5565974.53964142, 5621521.48620781], [-6011252.50282564, 5621521.48620781], [-6011252.50282564, 5942074.07238218], [-5565974.53964142, 5942074.07238218], [-5565974.53964142, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
176,176,6,71367501316.53125,1086383.1354328543,"{'rings': [[[-5343335.55809937, 5621521.48620781], [-5565974.53964142, 5621521.48620781], [-5565974.53964142, 5942074.07238218], [-5343335.55809937, 5942074.07238218], [-5343335.55809937, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
177,177,9,71367501348.625,1086383.1356330756,"{'rings': [[[-5120696.57645721, 5621521.48620781], [-5343335.55809937, 5621521.48620781], [-5343335.55809937, 5942074.07238218], [-5120696.57645721, 5942074.07238218], [-5120696.57645721, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
178,178,12,71367501316.53906,1086383.1354328655,"{'rings': [[[-4898057.59491516, 5621521.48620781], [-5120696.57645721, 5621521.48620781], [-5120696.57645721, 5942074.07238218], [-4898057.59491516, 5942074.07238218], [-4898057.59491516, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
179,179,14,71367501348.625,1086383.1356330775,"{'rings': [[[-4675418.61327299, 5621521.48620781], [-4898057.59491516, 5621521.48620781], [-4898057.59491516, 5942074.07238218], [-4675418.61327299, 5942074.07238218], [-4675418.61327299, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
180,180,14,1238430019962.7393,7369138.094637653,"{'rings': [[[-222638.981631038, 5621521.48620781], [-2345988.28613083, 5768438.54998976], [-3562223.7053625, 5942074.07238218], [-3562223.7053625, 6274861.3940405], [-3116945.74217829, 6274861.3940405], [-1678071.34140455, 6094490.36680944], [-222638.981631038, 5942074.07238218], [-222638.981631038, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
181,181,13,71367501348.625,1086383.1356330775,"{'rings': [[[3116945.74220054, 5621521.48620781], [3116945.74220054, 5942074.07238218], [3339584.7238427, 5942074.07238218], [3339584.7238427, 5621521.48620781], [3116945.74220054, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
182,182,11,142735002665.15625,1531661.0987171885,"{'rings': [[[5565974.53966368, 5621521.48620781], [5120696.57647947, 5621521.48620781], [5120696.57647947, 5942074.07238218], [5565974.53966368, 5942074.07238218], [5565974.53966368, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
183,183,10,102591278260.60156,1415948.2828219796,"{'rings': [[[5788613.52120574, 5621521.48620781], [5565974.53966368, 5621521.48620781], [5565974.53966368, 5942074.07238218], [6077856.33208147, 5806114.15664429], [5788613.52120574, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
184,184,8,142735002665.17188,1531661.0987171866,"{'rings': [[[15584728.7110583, 5621521.48620781], [15362089.7295162, 5621521.48620781], [15139450.7478741, 5621521.48620781], [15139450.7478741, 5942074.07238218], [15362089.7295162, 5942074.07238218], [15584728.7110583, 5942074.07238218], [15584728.7110583, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
185,185,7,71367501316.53125,1086383.1354328506,"{'rings': [[[15807367.6926004, 5621521.48620781], [15584728.7110583, 5621521.48620781], [15584728.7110583, 5942074.07238218], [15807367.6926004, 5942074.07238218], [15807367.6926004, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
186,186,6,71367501348.625,1086383.1356330924,"{'rings': [[[16030006.6742425, 5621521.48620781], [15807367.6926004, 5621521.48620781], [15807367.6926004, 5942074.07238218], [16030006.6742425, 5942074.07238218], [16030006.6742425, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
187,187,5,634616226544.4141,3456503.123088744,"{'rings': [[[17365840.5637952, 5621521.48620781], [16030006.6742425, 5621521.48620781], [16030006.6742425, 5942074.07238218], [16522933.7822039, 6251111.32643489], [17365840.5637952, 5942074.07238218], [17365840.5637952, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
188,188,6,921639816040.0625,6339844.789405121,"{'rings': [[[20037507.0671618, 5942074.07238218], [18924313.4348899, 5942074.07238218], [18924313.4348899, 5621521.48620781], [17365840.5637952, 5621521.48620781], [17365840.5637952, 5942074.07238218], [17588479.5453372, 5942074.07238218], [18804714.9645689, 6119237.14137861], [20037507.0671618, 6274861.2315228], [20037507.0671618, 6190443.68846667], [20037507.0671618, 6106854.75520533], [20037507.0671618, 6024072.07989014], [20037507.0671618, 5942074.07238218]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
189,189,7,356837097737.6094,2867492.436892681,"{'rings': [[[20037507.0671618, 5621521.48620781], [19146952.4164319, 5621521.48620781], [18924313.4348899, 5621521.48620781], [18924313.4348899, 5942074.07238218], [20037507.0671618, 5942074.07238218], [20037507.0671618, 5860839.82991549], [20037507.0671618, 5780349.22024035], [20037507.0671618, 5700582.73240413], [20037507.0671618, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
190,190,9,275670870937.8906,2400208.5801506676,"{'rings': [[[-20037507.0671618, 5621521.48620781], [-19814869.3612361, 5621521.48620781], [-19146952.4164097, 5621521.48620781], [-19146952.4164097, 5311971.84688464], [-19369591.3980518, 5311971.84688464], [-20037507.0671618, 5311971.84688464], [-20037507.0671618, 5373055.47183757], [-20037507.0671618, 5434543.70844924], [-20037507.0671618, 5496444.98986233], [-20037507.0671618, 5558767.96099889], [-20037507.0671618, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
191,191,10,551342531577.9375,4181322.983919855,"{'rings': [[[-17365840.5637729, 5311971.84688464], [-18701674.4532255, 5311971.84688464], [-19146952.4164097, 5311971.84688464], [-19146952.4164097, 5621521.48620781], [-18033757.5084992, 5621521.48620781], [-17365840.5637729, 5621521.48620781], [-17365840.5637729, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
192,192,11,344589082240.0781,2845489.0944673195,"{'rings': [[[-16252645.6558624, 5311971.84688464], [-16920562.6005887, 5311971.84688464], [-17365840.5637729, 5311971.84688464], [-17365840.5637729, 5621521.48620781], [-16920562.6005887, 5621521.48620781], [-16252645.6558624, 5621521.48620781], [-16252645.6558624, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
193,193,7,43930789447.39453,1042713.0943968638,"{'rings': [[[-9796115.18984144, 5621521.48620781], [-9573476.20819928, 5621521.48620781], [-9684795.6989703, 5226884.49026605], [-9796115.18984144, 5621521.48620781]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
194,194,8,209203134218.76562,2150760.377363529,"{'rings': [[[-8905559.263473, 5311971.84688464], [-9350837.22665722, 5311971.84688464], [-9350837.22665722, 5621521.48620781], [-9128198.24501506, 5621521.48620781], [-9128198.24501506, 5942074.07238218], [-8905559.263473, 5942074.07238218], [-8905559.263473, 5621521.48620781], [-8905559.263473, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
195,195,9,80094904264.85938,1389838.3703742218,"{'rings': [[[-8905559.263473, 5311971.84688464], [-8905559.263473, 5621521.48620781], [-8388066.14385583, 5465442.18336915], [-8905559.263473, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
196,196,8,137835632902.23438,1509655.2050147634,"{'rings': [[[-7569725.37392035, 5311971.84688464], [-8015003.33710457, 5311971.84688464], [-8015003.33710457, 5621521.48620781], [-7569725.37392035, 5621521.48620781], [-7569725.37392035, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
197,197,7,137835632902.22656,1509655.2050147746,"{'rings': [[[-7124447.41073614, 5311971.84688464], [-7347086.3923783, 5311971.84688464], [-7569725.37392035, 5311971.84688464], [-7569725.37392035, 5621521.48620781], [-7347086.3923783, 5621521.48620781], [-7124447.41073614, 5621521.48620781], [-7124447.41073614, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
198,198,8,68917816435.625,1064377.2417304516,"{'rings': [[[-6901808.42919408, 5311971.84688464], [-7124447.41073614, 5311971.84688464], [-7124447.41073614, 5621521.48620781], [-6901808.42919408, 5621521.48620781], [-6901808.42919408, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
199,199,9,137835632902.22266,1509655.2050147764,"{'rings': [[[-6456530.46600986, 5311971.84688464], [-6679169.44755192, 5311971.84688464], [-6901808.42919408, 5311971.84688464], [-6901808.42919408, 5621521.48620781], [-6679169.44755192, 5621521.48620781], [-6456530.46600986, 5621521.48620781], [-6456530.46600986, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
200,200,10,68917816435.625,1064377.2417304404,"{'rings': [[[-6233891.48446781, 5311971.84688464], [-6456530.46600986, 5311971.84688464], [-6456530.46600986, 5621521.48620781], [-6233891.48446781, 5621521.48620781], [-6233891.48446781, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
201,201,9,206753449368.83984,1954933.1682991106,"{'rings': [[[-5565974.53964142, 5311971.84688464], [-6011252.50282564, 5311971.84688464], [-6233891.48446781, 5311971.84688464], [-6233891.48446781, 5621521.48620781], [-6011252.50282564, 5621521.48620781], [-5565974.53964142, 5621521.48620781], [-5565974.53964142, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
202,202,10,68917816435.6211,1064377.2417304404,"{'rings': [[[-5343335.55809937, 5311971.84688464], [-5565974.53964142, 5311971.84688464], [-5565974.53964142, 5621521.48620781], [-5343335.55809937, 5621521.48620781], [-5343335.55809937, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
203,203,13,68917816466.60547,1064377.2419306617,"{'rings': [[[-5120696.57645721, 5311971.84688464], [-5343335.55809937, 5311971.84688464], [-5343335.55809937, 5621521.48620781], [-5120696.57645721, 5621521.48620781], [-5120696.57645721, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
204,204,15,68917816435.6211,1064377.2417304516,"{'rings': [[[-4898057.59491516, 5311971.84688464], [-5120696.57645721, 5311971.84688464], [-5120696.57645721, 5621521.48620781], [-4898057.59491516, 5621521.48620781], [-4898057.59491516, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
205,205,16,68917816466.60938,1064377.2419306636,"{'rings': [[[-4675418.61327299, 5311971.84688464], [-4898057.59491516, 5311971.84688464], [-4898057.59491516, 5621521.48620781], [-4675418.61327299, 5621521.48620781], [-4675418.61327299, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
206,206,17,68917816435.6211,1064377.2417304516,"{'rings': [[[-4452779.63173094, 5311971.84688464], [-4675418.61327299, 5311971.84688464], [-4675418.61327299, 5621521.48620781], [-4452779.63173094, 5621521.48620781], [-4452779.63173094, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
207,207,16,137835632902.2306,1509655.205014776,"{'rings': [[[222638.981553181, 5311971.84688464], [222638.981553181, 5621521.48620781], [667916.944737399, 5621521.48620781], [667916.944737399, 5311971.84688464], [222638.981553181, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
208,208,17,165766477617.72363,2011199.3714629314,"{'rings': [[[1781111.85264789, 5311971.84688464], [1558472.87110584, 5311971.84688464], [1335833.88956378, 5311971.84688464], [1458968.84626693, 6056524.64922672], [1781111.85264789, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
209,209,12,206753449337.85156,1954933.1680988763,"{'rings': [[[5788613.52120574, 5311971.84688464], [5343335.55812163, 5311971.84688464], [5120696.57647947, 5311971.84688464], [5120696.57647947, 5621521.48620781], [5565974.53966368, 5621521.48620781], [5788613.52120574, 5621521.48620781], [5788613.52120574, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
210,210,8,68917816435.625,1064377.2417304665,"{'rings': [[[15139450.7478741, 5311971.84688464], [14916811.766332, 5311971.84688464], [14916811.766332, 5621521.48620781], [15139450.7478741, 5621521.48620781], [15139450.7478741, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
211,211,9,68917816466.60938,1064377.241930645,"{'rings': [[[15362089.7295162, 5311971.84688464], [15139450.7478741, 5311971.84688464], [15139450.7478741, 5621521.48620781], [15362089.7295162, 5621521.48620781], [15362089.7295162, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
212,212,10,68917816435.625,1064377.2417304665,"{'rings': [[[15584728.7110583, 5311971.84688464], [15362089.7295162, 5311971.84688464], [15362089.7295162, 5621521.48620781], [15584728.7110583, 5621521.48620781], [15584728.7110583, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
213,213,9,68917816435.60938,1064377.2417304367,"{'rings': [[[15807367.6926004, 5311971.84688464], [15584728.7110583, 5311971.84688464], [15584728.7110583, 5621521.48620781], [15807367.6926004, 5621521.48620781], [15807367.6926004, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
214,214,7,413506898706.6875,3290767.057751626,"{'rings': [[[17365840.5637952, 5311971.84688464], [16920562.600611, 5311971.84688464], [16030006.6742425, 5311971.84688464], [16030006.6742425, 5621521.48620781], [17365840.5637952, 5621521.48620781], [17365840.5637952, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
215,215,8,551342531577.9219,4181322.9839198776,"{'rings': [[[19146952.4164319, 5311971.84688464], [18256396.4900635, 5311971.84688464], [18033757.5085215, 5311971.84688464], [17365840.5637952, 5311971.84688464], [17365840.5637952, 5621521.48620781], [18924313.4348899, 5621521.48620781], [19146952.4164319, 5621521.48620781], [19146952.4164319, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
216,216,9,275670870931.02344,2400208.580106153,"{'rings': [[[20037507.0671618, 5311971.84688462], [19146952.4164319, 5311971.84688464], [19146952.4164319, 5621521.48620781], [20037507.0671618, 5621521.48620781], [20037507.0671618, 5558767.96099889], [20037507.0671618, 5496444.98986232], [20037507.0671618, 5434543.70844923], [20037507.0671618, 5373055.47183755], [20037507.0671618, 5311971.84688462]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
217,217,12,200127694188.78125,1935091.7042942215,"{'rings': [[[-20037507.0671618, 5311971.84688464], [-19369591.3980518, 5311971.84688464], [-19369591.3980518, 5012341.66384752], [-20037507.0671618, 5012341.66384752], [-20037507.0671618, 5086373.64927252], [-20037507.0671618, 5160979.44401985], [-20037507.0671618, 5236173.78387569], [-20037507.0671618, 5311971.84688464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
218,218,11,200128076431.90625,1935094.255726995,"{'rings': [[[-18701674.4532255, 5012341.66384752], [-19369591.3980518, 5012341.66384752], [-19369591.3980518, 5311971.84688464], [-19146952.4164097, 5311971.84688464], [-18701674.4532255, 5311971.84688464], [-18701674.4532255, 5012341.66384752]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
